#PartyRecordId	ISNI	IpiNameNumber	CisacSocietyId	DPID	FullName	NamesBeforeKeyName	KeyName	NamesAfterKeyName	ContactName	EmailAddress	PhoneNumber	PostalAddress	ContactInformationMayNotBeValid
700000017			mock-society	mock-dpid-17	MOCK WRITER N2711M	MOCK WRITER	N2711M				writer-n2711m@example.test			true
700000018			mock-society	mock-dpid-18	MOCK PUBLISHER N2711M	MOCK PUBLISHER	N2711M				publisher-n2711m@example.test			true
700000019			mock-society	mock-dpid-19	MOCK WRITER N2711N	MOCK WRITER	N2711N				writer-n2711n@example.test			true
700000020			mock-society	mock-dpid-20	MOCK PUBLISHER N2711N	MOCK PUBLISHER	N2711N				publisher-n2711n@example.test			true
700000021			mock-society	mock-dpid-21	MOCK WRITER N2711O	MOCK WRITER	N2711O				writer-n2711o@example.test			true
700000022			mock-society	mock-dpid-22	MOCK PUBLISHER N2711O	MOCK PUBLISHER	N2711O				publisher-n2711o@example.test			true
700000023			mock-society	mock-dpid-23	MOCK WRITER N2711P	MOCK WRITER	N2711P				writer-n2711p@example.test			true
700000024			mock-society	mock-dpid-24	MOCK PUBLISHER N2711P	MOCK PUBLISHER	N2711P				publisher-n2711p@example.test			true
700000025			mock-society	mock-dpid-25	MOCK WRITER N2711Q	MOCK WRITER	N2711Q				writer-n2711q@example.test			true
700000026			mock-society	mock-dpid-26	MOCK PUBLISHER N2711Q	MOCK PUBLISHER	N2711Q				publisher-n2711q@example.test			true
700000027			mock-society	mock-dpid-27	MOCK WRITER N2711R	MOCK WRITER	N2711R				writer-n2711r@example.test			true
700000028			mock-society	mock-dpid-28	MOCK PUBLISHER N2711R	MOCK PUBLISHER	N2711R				publisher-n2711r@example.test			true
700000029			mock-society	mock-dpid-29	MOCK WRITER N2711S	MOCK WRITER	N2711S				writer-n2711s@example.test			true
700000030			mock-society	mock-dpid-30	MOCK PUBLISHER N2711S	MOCK PUBLISHER	N2711S				publisher-n2711s@example.test			true
700000031			mock-society	mock-dpid-31	MOCK WRITER N2711T	MOCK WRITER	N2711T				writer-n2711t@example.test			true
700000032			mock-society	mock-dpid-32	MOCK PUBLISHER N2711T	MOCK PUBLISHER	N2711T				publisher-n2711t@example.test			true
700000033			mock-society	mock-dpid-33	MOCK WRITER N2711U	MOCK WRITER	N2711U				writer-n2711u@example.test			true
700000034			mock-society	mock-dpid-34	MOCK PUBLISHER N2711U	MOCK PUBLISHER	N2711U				publisher-n2711u@example.test			true
700000035			mock-society	mock-dpid-35	MOCK WRITER N2711V	MOCK WRITER	N2711V				writer-n2711v@example.test			true
700000036			mock-society	mock-dpid-36	MOCK PUBLISHER N2711V	MOCK PUBLISHER	N2711V				publisher-n2711v@example.test			true
700000037			mock-society	mock-dpid-37	MOCK WRITER N2711W	MOCK WRITER	N2711W				writer-n2711w@example.test			true
700000038			mock-society	mock-dpid-38	MOCK PUBLISHER N2711W	MOCK PUBLISHER	N2711W				publisher-n2711w@example.test			true
700000039			mock-society	mock-dpid-39	MOCK WRITER N2711X	MOCK WRITER	N2711X				writer-n2711x@example.test			true
700000040			mock-society	mock-dpid-40	MOCK PUBLISHER N2711X	MOCK PUBLISHER	N2711X				publisher-n2711x@example.test			true
700000041			mock-society	mock-dpid-41	MOCK WRITER N2711Y	MOCK WRITER	N2711Y				writer-n2711y@example.test			true
700000042			mock-society	mock-dpid-42	MOCK PUBLISHER N2711Y	MOCK PUBLISHER	N2711Y				publisher-n2711y@example.test			true
700000043			mock-society	mock-dpid-43	MOCK WRITER N2711Z	MOCK WRITER	N2711Z				writer-n2711z@example.test			true
700000044			mock-society	mock-dpid-44	MOCK PUBLISHER N2711Z	MOCK PUBLISHER	N2711Z				publisher-n2711z@example.test			true
700000045			mock-society	mock-dpid-45	MOCK WRITER N27120	MOCK WRITER	N27120				writer-n27120@example.test			true
700000046			mock-society	mock-dpid-46	MOCK PUBLISHER N27120	MOCK PUBLISHER	N27120				publisher-n27120@example.test			true
700000047			mock-society	mock-dpid-47	MOCK WRITER N27121	MOCK WRITER	N27121				writer-n27121@example.test			true
700000048			mock-society	mock-dpid-48	MOCK PUBLISHER N27121	MOCK PUBLISHER	N27121				publisher-n27121@example.test			true
700000049			mock-society	mock-dpid-49	MOCK WRITER N27122	MOCK WRITER	N27122				writer-n27122@example.test			true
700000050			mock-society	mock-dpid-50	MOCK PUBLISHER N27122	MOCK PUBLISHER	N27122				publisher-n27122@example.test			true
